Condition	USMLE Classic Presentation	Pathophysiology	Epidemiology	Salient Signs & Symptoms	Time Course	Differential	Diagnostics	Treatment	Never Miss	More Info																
Intracranial Hemorrhage (Arterial)	Sudden severe thunderclap headache, often described as "worst headache of life"; may have sentinel headache	Rupture of arterial aneurysm or arteriovenous malformation causes bleeding into subarachnoid space or brain parenchyma; hypertension causes rupture of small penetrating arteries in deep structures	Subarachnoid hemorrhage peak age 50-60 years; intracerebral hemorrhage more common in older adults with hypertension; men and women equally affected	Thunderclap headache, loss of consciousness, neck stiffness, photophobia, focal neurologic deficits depending on location, seizures, nausea and vomiting	Sudden onset over seconds to minutes; maximal intensity at onset	Ischemic stroke, migraine, meningitis, cervical artery dissection, reversible cerebral vasoconstriction syndrome	Non-contrast CT head (sensitivity decreases over time for subarachnoid hemorrhage); CT angiography to identify aneurysm or vascular malformation; lumbar puncture if CT negative and high suspicion (xanthochromia); MRI for subacute presentations	Subarachnoid hemorrhage: blood pressure control, nimodipine for vasospasm prevention, aneurysm securing via endovascular coiling or surgical clipping; intracerebral hemorrhage: blood pressure control (target systolic less than 140 mm Hg if no contraindication), reversal of coagulopathy, neurosurgical evaluation for evacuation	Y	https://www.uptodate.com/contents/aneurysmal-subarachnoid-hemorrhage-clinical-manifestations-and-diagnosis																
Intracranial Hemorrhage (Venous)	Headache with papilledema in young woman; may have seizures or focal deficits; often associated with prothrombotic state	Thrombosis of cerebral venous sinuses causes venous outflow obstruction leading to venous hypertension, vasogenic edema, and hemorrhagic venous infarction	Young to middle-aged adults; female predominance (3:1); associated with pregnancy, oral contraceptives, prothrombotic conditions	Headache (most common), seizures, focal neurologic deficits, papilledema, altered consciousness; hemorrhage often lobar or parasagittal with edema disproportionate to hemorrhage size	Subacute onset over days to weeks; can be acute in fulminant cases	Arterial intracerebral hemorrhage, ischemic stroke with hemorrhagic transformation, brain tumor, abscess	MRI with MR venography or CT with CT venography showing filling defect in venous sinus; non-contrast CT may show hyperdense sinus (cord sign) or hemorrhage with surrounding edema; D-dimer often elevated	Anticoagulation with heparin even in presence of hemorrhage (unless contraindicated); treat underlying prothrombotic condition; endovascular thrombolysis or thrombectomy for severe cases; manage intracranial pressure; treat seizures	Y	https://www.uptodate.com/contents/cerebral-venous-thrombosis-treatment-and-prognosis																
Intraparenchymal Hemorrhage (Cerebral Amyloid Angiopathy)	Elderly patient (over 55 years) with lobar hemorrhage, history of cognitive decline, and "amyloid spells" (transient focal neurological episodes)	Beta-amyloid protein deposition in cortical and leptomeningeal vessel walls causes vessel weakening and rupture; associated with apolipoprotein E epsilon 2 and epsilon 4 alleles	Second most common cause of spontaneous intracerebral hemorrhage in elderly; predominantly affects patients over 55 years; accounts for 10 to 20 percent of all intracerebral hemorrhages	Lobar intracerebral hemorrhage, cognitive impairment or dementia, transient focal neurological episodes (amyloid spells), convexity subarachnoid hemorrhage; symptoms depend on hemorrhage location	Acute onset of hemorrhage; progressive cognitive decline over months to years; high risk of recurrent hemorrhage (approximately 7.5 percent per year, up to 26 percent per year with extensive cortical superficial siderosis)	Hypertensive hemorrhage, hemorrhagic transformation of ischemic stroke, tumor, vascular malformation, anticoagulation-related hemorrhage	MRI with gradient echo or susceptibility weighted imaging showing strictly lobar hemorrhagic lesions (intracerebral hemorrhage, cerebral microbleeds, cortical superficial siderosis); Boston Criteria version 2.0 for diagnosis; absence of deep hemorrhagic lesions; may show severe perivascular spaces in centrum semiovale or multispot white matter hyperintensities	Acute blood pressure control; avoidance of anticoagulation and antiplatelet therapy when possible; strict blood pressure control for secondary prevention; fall precautions; cognitive assessment and support; admission to stroke unit	Y	https://www.uptodate.com/contents/cerebral-amyloid-angiopathy-related-intracerebral-hemorrhage																
Intraparenchymal Hemorrhage (Hypertensive)	Sudden onset severe headache with focal neurological deficits in patient with chronic hypertension; "worst headache of my life"	Chronic hypertension causes lipohyalinosis and fibrinoid necrosis of small penetrating arteries, leading to vessel rupture in deep brain structures	Most common cause of spontaneous intracerebral hemorrhage; accounts for approximately 50 percent of cases; predominantly affects middle-aged and elderly patients with poorly controlled hypertension	Sudden onset headache, nausea, vomiting, decreased level of consciousness, focal neurological deficits depending on location (hemiparesis, hemisensory loss, aphasia); may have signs of chronic hypertension (left ventricular hypertrophy, chronic kidney disease, hypertensive retinopathy)	Acute onset with symptoms developing over minutes to hours; risk of hematoma expansion highest in first few hours; approximately 25 percent deteriorate in emergency department	Cerebral amyloid angiopathy, hemorrhagic transformation of ischemic stroke, vascular malformation, tumor, coagulopathy, venous sinus thrombosis, reversible cerebral vasoconstriction syndrome	Noncontrast CT shows hyperdense lesion in basal ganglia, thalamus, pons, or cerebellum; CT angiography to assess for spot sign (predictor of expansion) and exclude vascular malformation; MRI gradient echo or susceptibility weighted imaging shows microbleeds preferentially in basal ganglia, pons, cerebellum	Acute blood pressure control (target systolic blood pressure 140 mmHg or less if presenting systolic blood pressure 150 to 220 mmHg); reversal of coagulopathy if present; admission to stroke unit or neurointensive care unit; intracranial pressure management if needed; surgical evacuation considered for cerebellar hemorrhages with neurological deterioration or brainstem compression	Y	https://www.uptodate.com/contents/spontaneous-intracerebral-hemorrhage-pathogenesis-clinical-features-and-diagnosis																
Ischemic Stroke	Sudden onset focal neurological deficit: hemiparesis, facial droop, dysarthria, aphasia, visual field defect; "time is brain"	Acute arterial occlusion causing focal brain infarction due to thrombosis, embolism, or hypoperfusion. Ischemic cascade leads to neuronal death within minutes to hours	<strong>87% of all strokes</strong> in the United States. More than 700,000 strokes annually. Third leading cause of death. Risk factors: hypertension, diabetes, atrial fibrillation, smoking, hyperlipidemia	Hemiparesis, dysarthria, sensory deficits, aphasia, visual deficits, facial droop, ataxia, altered mental status. Symptoms depend on vascular territory affected	<strong>Acute onset</strong> (seconds to minutes). Symptoms maximal at onset. Therapeutic window: intravenous tissue plasminogen activator within 4.5 hours, mechanical thrombectomy within 24 hours	Hemorrhagic stroke, transient ischemic attack, hypoglycemia, seizure with postictal state, migraine with aura, metabolic disturbances, encephalopathy, functional disorder, brain tumor	<strong>Noncontrast computed tomography brain</strong> (excludes hemorrhage). Magnetic resonance imaging with diffusion-weighted imaging (detects infarction within minutes). National Institutes of Health Stroke Scale for severity. Glucose testing. Vascular imaging (computed tomography angiography or magnetic resonance angiography) for large vessel occlusion. Electrocardiogram, telemetry, echocardiography for etiology	<strong>Intravenous tissue plasminogen activator</strong> if within 4.5 hours and eligible. <strong>Mechanical thrombectomy</strong> for large vessel occlusion within 24 hours. Aspirin 325 milligrams within 24-48 hours if not receiving thrombolysis. Blood pressure management (avoid lowering unless greater than 220/120 millimeters of mercury). Admit to stroke unit. Supportive care: oxygen, fever control, glucose control, deep vein thrombosis prophylaxis, dysphagia screening	Y	https://www.uptodate.com/contents/overview-of-the-evaluation-of-stroke																
Ischemic Stroke (Cardioembolic)	Sudden maximal deficit at onset with cortical signs in patient with atrial fibrillation or recent myocardial infarction; multiple vascular territories involved	Embolus from cardiac source (atrial fibrillation, left ventricular thrombus, valvular disease, patent foramen ovale, atrial myxoma) travels to cerebral circulation causing arterial occlusion; emboli may fragment and migrate distally	Accounts for approximately 25 percent of ischemic strokes globally; associated with higher morbidity and mortality compared to other stroke subtypes; prevalence increases with age due to atrial fibrillation	Sudden onset maximal deficit, cortical signs (aphasia, neglect, hemianopia), hemiparesis, decreased consciousness if large territory; hemorrhagic transformation more common; may have evidence of systemic embolization; infarcts in multiple vascular territories suggest cardioembolic source	Acute onset with symptoms maximal at onset; may have early improvement due to clot fragmentation and distal migration; high early recurrence risk without anticoagulation (up to 12 percent in first 2 weeks with atrial fibrillation)	Large vessel atherosclerotic stroke, small vessel stroke, hemorrhagic stroke, aortic arch atheroma, paradoxical embolism, stroke mimic	Noncontrast CT or MRI with diffusion weighted imaging shows cortical or territorial infarct; multiple infarcts in different vascular territories highly suggestive; CT angiography or MR angiography; transthoracic or transesophageal echocardiography; prolonged cardiac monitoring (minimum 24 hours, ideally 30 days) for atrial fibrillation	Intravenous alteplase within 4.5 hours if eligible; endovascular thrombectomy for large vessel occlusion; oral anticoagulation for atrial fibrillation (direct oral anticoagulants preferred over warfarin); anticoagulation for left ventricular thrombus; patent foramen ovale closure in select patients with cryptogenic stroke; risk factor modification	Y	https://www.uptodate.com/contents/cardioembolic-stroke																
Ischemic Stroke (Large Vessel)	Sudden onset cortical signs (aphasia, neglect, gaze deviation) in patient with vascular risk factors; "wake up stroke"	Atherosclerotic plaque rupture or artery-to-artery thromboembolism from internal carotid artery or major intracranial arteries (middle cerebral artery M1 segment, basilar artery) causing occlusion; may also result from in situ thrombosis on stenotic lesion	Accounts for approximately 15 to 20 percent of ischemic strokes; more common in patients with hypertension, diabetes, hyperlipidemia, smoking history; higher prevalence in certain ethnic groups with intracranial atherosclerosis	Cortical dysfunction (aphasia, neglect, hemianopia), hemiparesis, hemisensory loss, gaze deviation, decreased level of consciousness if large territory involved; symptoms depend on vascular territory; may have preceding transient ischemic attacks in same territory	Acute onset over minutes; symptoms maximal at onset or stuttering progression; may present as wake-up stroke; risk of malignant edema with large middle cerebral artery infarction peaks at 2 to 5 days	Cardioembolic stroke, small vessel stroke, hemorrhagic stroke, stroke mimic (seizure, migraine, metabolic), intracranial mass, cerebral venous thrombosis	Noncontrast CT or MRI with diffusion weighted imaging shows wedge-shaped territorial infarct; CT angiography or MR angiography shows large vessel occlusion or greater than 50 percent stenosis; carotid Doppler ultrasonography for extracranial disease; cardiac monitoring to exclude atrial fibrillation	Intravenous alteplase within 4.5 hours if eligible; endovascular thrombectomy within 24 hours for large vessel occlusion with favorable imaging; antiplatelet therapy (aspirin, clopidogrel, or ticagrelor); carotid endarterectomy or stenting for symptomatic high-grade stenosis; intensive risk factor modification	Y	https://www.uptodate.com/contents/overview-of-the-evaluation-of-stroke																
Ischemic Stroke (Small Vessel, a.k.a. lacunar)	Pure motor hemiparesis, pure sensory stroke, or ataxic hemiparesis in patient with hypertension and diabetes; no cortical signs	Lipohyalinosis and fibrinoid necrosis of small penetrating arteries (lenticulostriate arteries, thalamoperforators, pontine perforators) due to chronic hypertension and diabetes; occlusion of small deep perforating arterioles	Accounts for 20 to 30 percent of ischemic strokes; strongly associated with chronic hypertension and diabetes; leading cause of vascular dementia and vascular cognitive impairment	Classic lacunar syndromes: pure motor hemiparesis, pure sensory stroke, ataxic hemiparesis, dysarthria-clumsy hand syndrome, sensorimotor stroke; absence of cortical signs (no aphasia, neglect, hemianopia, or decreased consciousness)	Acute onset over minutes to hours; may have stuttering progression; recurrence risk 4 to 11 percent per year; progressive cognitive decline over years with recurrent events	Large vessel stroke with small infarct, cardioembolic stroke, hemorrhagic stroke, demyelinating disease, small hemorrhage, metabolic disorder	MRI with diffusion weighted imaging shows subcortical infarct less than 15 millimeters diameter in basal ganglia, internal capsule, thalamus, pons, or corona radiata; gradient echo or susceptibility weighted imaging may show cerebral microbleeds; vascular imaging and cardiac workup to exclude other causes	Antiplatelet therapy with single agent (aspirin, clopidogrel, or ticagrelor); dual antiplatelet therapy not recommended due to increased bleeding without benefit; intensive blood pressure control; diabetes management; statin therapy; lifestyle modifications	N	https://www.uptodate.com/contents/lacunar-infarcts																
Lambert-Eaton Myasthenic Syndrome	Middle-aged smoker with proximal leg weakness that improves with exercise, dry mouth, and diminished reflexes; "weakness that gets better with use, think small cell lung cancer"	Autoimmune presynaptic disorder with antibodies against P/Q-type voltage-gated calcium channels on presynaptic nerve terminals; reduces acetylcholine vesicle release probability; 50 to 60 percent paraneoplastic (most commonly small cell lung cancer), remainder non-tumor autoimmune	Rare; incidence less than 1 per million per year; prevalence approximately 3 per million; male predominance; mean age of onset 60 years for small cell lung cancer-associated, 35 years for non-tumor	Proximal leg weakness (initial symptom in 80 percent) spreading caudal-to-cranial; autonomic dysfunction (dry mouth in 57 percent, erectile dysfunction in 53 percent, constipation); diminished or absent deep tendon reflexes that may return after exercise; cranial nerve involvement less common than myasthenia gravis; ocular symptoms rare	Progressive over weeks to months; small cell lung cancer-associated progresses more rapidly than non-tumor form	Myasthenia gravis, polymyositis, inclusion body myositis, mitochondrial myopathy, Guillain-Barré syndrome, botulism	Electromyography: small compound muscle action potentials at rest with greater than 100 percent increment after 10 seconds of maximal voluntary contraction or high-frequency (20 to 50 hertz) repetitive nerve stimulation; low-frequency (2 to 5 hertz) stimulation shows decrement; anti-voltage-gated calcium channel antibodies positive in 85 to 90 percent; computed tomography chest for small cell lung cancer screening	Symptomatic: amifampridine (3,4-diaminopyridine) first-line to increase acetylcholine release; Immunotherapy: prednisone plus azathioprine, intravenous immunoglobulin, or plasma exchange for persistent symptoms; Oncologic: treat underlying small cell lung cancer if present (takes priority); Non-tumor form has normal life expectancy	Y	https://www.uptodate.com/contents/lambert-eaton-myasthenic-syndrome																
Lipohyalinosis	Elderly patient with chronic hypertension presenting with pure motor hemiparesis or other lacunar syndrome; no cortical signs	Chronic hypertension causes plasma protein deposition and fibrinoid necrosis in walls of small penetrating arterioles (50 to 200 micrometers diameter); leads to vessel wall thickening, luminal narrowing, and eventual occlusion; affects lenticulostriate arteries, thalamoperforators, and pontine perforators	Most common pathological finding in lacunar infarction; strongly associated with chronic poorly controlled hypertension and diabetes; prevalence increases with age; more common in patients with chronic kidney disease	Lacunar syndromes: pure motor hemiparesis, pure sensory stroke, ataxic hemiparesis, dysarthria-clumsy hand syndrome; absence of cortical signs; may be asymptomatic with chronic white matter changes and cognitive decline	Develops over years to decades of chronic hypertension; acute occlusion causes lacunar infarct with symptoms over minutes to hours; chronic changes contribute to vascular dementia over years	Microatheroma, cerebral amyloid angiopathy, other small vessel diseases, demyelinating disease, small hemorrhage	MRI with diffusion weighted imaging shows small subcortical infarct less than 15 millimeters; fluid attenuated inversion recovery shows white matter hyperintensities; gradient echo shows microbleeds in deep structures; pathological diagnosis on autopsy or biopsy	Intensive blood pressure control (target less than 130 over 80 millimeters mercury); antiplatelet therapy; statin therapy; diabetes management; lifestyle modifications; treatment of acute lacunar stroke follows standard protocols	N	https://www.uptodate.com/contents/lacunar-infarcts																
Meningitis	Fever, headache, neck stiffness (classic triad); Kernig and Brudzinski signs positive; petechial rash in meningococcal disease	Inflammation of meninges from bacterial, viral, or fungal infection; bacterial causes include Streptococcus pneumoniae, Neisseria meningitidis, Listeria monocytogenes; viral causes include enteroviruses and herpes simplex virus	Bacterial meningitis incidence 0.4-0.8 per 100,000 adults in high-income countries; Streptococcus pneumoniae causes 72% of bacterial cases in adults over 16 years; viral meningitis more common overall	Fever, severe headache, neck stiffness, photophobia, altered mental status, nausea and vomiting; may have seizures or focal neurologic deficits	Acute onset over hours to days; bacterial progresses more rapidly than viral	Encephalitis, subarachnoid hemorrhage, brain abscess, migraine, viral syndrome	Lumbar puncture with cerebrospinal fluid analysis showing elevated white blood cells, elevated protein, decreased glucose in bacterial; Gram stain and culture; polymerase chain reaction for viral pathogens; blood cultures	Empiric antibiotics immediately (ceftriaxone plus vancomycin; add ampicillin if Listeria suspected); dexamethasone before or with first antibiotic dose; acyclovir if viral encephalitis not excluded; duration typically 10-14 days for bacterial	Y	https://www.uptodate.com/contents/bacterial-meningitis-in-adults-clinical-manifestations-and-diagnosis																
Microatheroma	Patient with vascular risk factors presenting with lacunar syndrome; small atherosclerotic plaque at origin of penetrating artery	Atherosclerotic plaque formation at ostium or proximal portion of small penetrating arterioles; plaque rupture or in situ thrombosis causes occlusion of penetrating vessel; represents branch atheromatous disease; distinct from lipohyalinosis but both cause lacunar infarction	Accounts for minority of lacunar infarcts (estimated 15 to 25 percent); associated with traditional atherosclerotic risk factors (hypertension, diabetes, hyperlipidemia, smoking); may be more common in certain ethnic populations	Lacunar syndromes identical to lipohyalinosis: pure motor hemiparesis, pure sensory stroke, ataxic hemiparesis, dysarthria-clumsy hand syndrome; absence of cortical signs; symptoms depend on location of affected penetrating artery	Acute onset over minutes to hours; may have stuttering progression as plaque extends into penetrating vessel; recurrence risk similar to other atherosclerotic disease	Lipohyalinosis, cardioembolic stroke with small infarct, large vessel atherosclerosis with small territorial infarct, small hemorrhage, demyelinating disease	MRI with diffusion weighted imaging shows subcortical infarct less than 15 millimeters; high-resolution MRI may show parent artery atherosclerotic plaque; vascular imaging to assess for large vessel disease; cardiac workup to exclude cardioembolic source	Antiplatelet therapy (aspirin, clopidogrel, or ticagrelor); intensive statin therapy; blood pressure control; diabetes management; smoking cessation; lifestyle modifications	N	https://www.uptodate.com/contents/lacunar-infarcts																
Microcephaly	Newborn or infant with head circumference more than 2 standard deviations below mean for age and gender; may have developmental delays, seizures; "small head, check for causes"	Multiple etiologies: primary (genetic mutations affecting brain development) or secondary (intrauterine infections, toxins, hypoxic-ischemic injury, malnutrition); results in reduced brain growth and neuronal proliferation	2.3% of children by definition (head circumference less than minus 2 standard deviations); severe microcephaly (less than minus 3 standard deviations) in 0.1%; varies by etiology and population	Small head circumference (less than minus 2 standard deviations), developmental delay, intellectual disability, seizures, motor abnormalities; may have associated dysmorphic features depending on etiology; normal cognition possible in familial microcephaly	Congenital microcephaly present at birth; postnatal microcephaly develops after birth due to acquired insults; progressive if underlying cause not addressed	Craniosynostosis, constitutional microcephaly, intrauterine growth restriction, chromosomal disorders, congenital infections, metabolic disorders	Accurate head circumference measurement using standardized growth charts; brain MRI to evaluate brain structure and classify type; genetic testing if syndromic features; metabolic workup; TORCH titers if congenital infection suspected	Treat underlying cause if identified; supportive care including developmental therapies, seizure management, nutritional support; genetic counseling; early intervention services; monitor for complications	N	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2744281/																
Millard-Gubler Syndrome	Ipsilateral sixth and seventh nerve palsies with contralateral hemiparesis; "ventral pons crossed syndrome"	Ventral pontine lesion affecting abducens nerve fascicles, facial nerve fascicles, and corticospinal tract; most commonly due to pontine infarction from basilar artery perforating branches; also demyelination, tumor, hemorrhage	Rare; typically affects adults with vascular risk factors; less common than other brainstem syndromes	Ipsilateral: lateral rectus palsy (inability to abduct eye), peripheral facial palsy (facial weakness including forehead); Contralateral: hemiparesis or hemiplegia	Acute onset with vascular causes (minutes to hours); subacute with demyelinating or mass lesions	Foville syndrome (includes gaze palsy), other pontine strokes, multiple sclerosis, pontine glioma, basilar artery thrombosis	Magnetic resonance imaging shows ventral pontine lesion; magnetic resonance angiography to evaluate basilar artery and branches; diffusion-weighted imaging for acute infarction	Acute stroke: thrombolysis or thrombectomy if eligible; secondary prevention with antiplatelet or anticoagulation; physical therapy; eye patching for diplopia	Y	https://www.uptodate.com/contents/overview-of-the-clinical-manifestations-of-posterior-circulation-stroke																
Multiple Sclerosis	Young woman with optic neuritis, internuclear ophthalmoplegia, or transverse myelitis with symptoms separated in time and space; "Charcot triad: nystagmus, intention tremor, scanning speech"	Autoimmune demyelination of central nervous system white matter; T cell-mediated inflammation causes oligodendrocyte damage and myelin loss; formation of demyelinating plaques (sclerosis) disseminated in time and space; axonal damage occurs with disease progression	Most common nontraumatic cause of neurologic disability in young adults; prevalence 200 per 100,000 in United States; female to male ratio 3 to 1; peak onset 20 to 40 years; higher prevalence at northern latitudes	Optic neuritis (painful vision loss, afferent pupillary defect), internuclear ophthalmoplegia, transverse myelitis, Lhermitte sign (electric shock sensation with neck flexion), sensory symptoms, weakness, ataxia, bladder dysfunction, fatigue, heat sensitivity (Uhthoff phenomenon), cognitive impairment	Relapsing-remitting (85 percent): discrete attacks with recovery; Secondary progressive: gradual worsening after relapsing-remitting phase; Primary progressive (15 percent): gradual progression from onset	Neuromyelitis optica spectrum disorder, acute disseminated encephalomyelitis, neurosyphilis, Lyme disease, sarcoidosis, systemic lupus erythematosus, vitamin B12 deficiency, cerebrovascular disease	Magnetic resonance imaging brain and spine showing periventricular, juxtacortical, infratentorial, or spinal cord lesions (Dawson fingers); cerebrospinal fluid with oligoclonal bands, elevated immunoglobulin G index; McDonald criteria require dissemination in space and time; visual evoked potentials	Acute relapse: high-dose intravenous methylprednisolone, plasma exchange for severe relapses; Disease-modifying therapies: first-line (interferon beta, glatiramer acetate, teriflunomide, dimethyl fumarate), high-efficacy (natalizumab, ocrelizumab, alemtuzumab, cladribine); symptomatic management	N	https://www.uptodate.com/contents/multiple-sclerosis-clinical-features-and-diagnosis																
Myasthenia Gravis	Ptosis and diplopia that worsen with sustained activity; "ice pack test" improves ptosis	Autoantibodies against acetylcholine receptor, muscle-specific kinase, or other postsynaptic proteins impair neuromuscular transmission	Affects all ages; female predominance in early onset (less than 50 years); associated with thymic abnormalities	Fluctuating muscle weakness worsening with activity; ocular symptoms (ptosis, diplopia); bulbar weakness (dysphagia, dysarthria); respiratory muscle involvement in crisis	Chronic progressive with fluctuations; myasthenic crisis can develop acutely	Lambert-Eaton myasthenic syndrome, botulism, oculopharyngeal muscular dystrophy, mitochondrial myopathy, brainstem lesions	Acetylcholine receptor or muscle-specific kinase antibodies; repetitive nerve stimulation showing decremental response; single-fiber electromyography; edrophonium test; chest imaging for thymoma	Acetylcholinesterase inhibitors (pyridostigmine); immunosuppression (azathioprine, corticosteroids); thymectomy in selected cases; intravenous immunoglobulin or plasma exchange for exacerbations; eculizumab for refractory cases	N	https://www.uptodate.com/contents/myasthenia-gravis																
Neurocysticercosis	Seizures in patient from endemic area (Latin America, sub-Saharan Africa, Asia); ring-enhancing lesions with scolex (dot sign) on imaging	Infection of central nervous system with larval cysts of Taenia solium acquired by ingestion of ova from contaminated food or water; cysts can be in brain parenchyma, ventricles, or subarachnoid space	Major cause of seizures worldwide; linked to 29% of seizure cases in endemic areas; over 2000 cases per year in United States; endemic in Latin America, sub-Saharan Africa, parts of Asia	Seizures (most common in parenchymal disease), headache, increased intracranial pressure, focal neurologic deficits, hydrocephalus; symptoms vary by cyst location and stage	Chronic course over months to years; symptoms depend on cyst degeneration and host inflammatory response	Brain abscess, brain tumor, tuberculoma, toxoplasmosis, metastases	Magnetic resonance imaging or computed tomography showing cystic lesions with or without scolex; enzyme-linked immunotransfer blot serology for confirmation; cerebrospinal fluid analysis if needed	Antiparasitic therapy with albendazole (15 mg per kg per day) or praziquantel for viable parenchymal cysts; corticosteroids to reduce inflammation; antiepileptics for seizure control; neurosurgery for ventricular or subarachnoid disease; duration typically 10-14 days	N	https://www.uptodate.com/contents/neurocysticercosis																
Normal Pressure Hydrocephalus	Elderly patient with "wet, wobbly, and wacky" triad: gait disturbance, urinary incontinence, and cognitive impairment	Impaired cerebrospinal fluid dynamics with abnormal intracranial pressure waveforms and compliance despite normal or minimally elevated cerebrospinal fluid pressure on lumbar puncture; communicating hydrocephalus without ventricular obstruction	Typically occurs in persons older than 60 years; idiopathic form more common than secondary form	Gait: wide-based, shuffling, short steps, difficulty initiating walking, freezing, falls with turns, slow velocity (less than 1 meter per second); Urinary: urgency, frequency, difficulty inhibiting bladder emptying; Cognitive: nonamnestic memory impairment (benefits from cues), slowed processing speed, impaired executive function, apathy; no papilledema or severe headaches	Insidious onset over months to years; progressive without treatment	Parkinson disease, Alzheimer dementia, Lewy body dementia, vascular cognitive impairment, spinal stenosis, peripheral neuropathy, asymptomatic ventriculomegaly, medication side effects	Brain magnetic resonance imaging or computed tomography showing ventriculomegaly with effacement of sulci at vertex; prognostic testing: high-volume lumbar puncture (30 to 50 milliliters cerebrospinal fluid removal) with gait assessment, or external lumbar drainage; neuropsychological testing showing frontal-subcortical pattern	Ventriculoperitoneal shunt or ventriculoatrial shunt placement; approximately 63 percent have complete triad, but 96 percent have gait difficulty	N	https://www.nejm.org/doi/full/10.1056/NEJMra2306506																
Obstructive Hydrocephalus	Infant with rapidly increasing head circumference and bulging fontanelle; older child with headache, vomiting, and sixth nerve palsy causing diplopia	Obstruction of cerebrospinal fluid flow within ventricular system or at exit foramina; causes include aqueductal stenosis, posterior fossa tumors, colloid cysts, or congenital malformations; elevated intracranial pressure results	Common in pediatric population; approximately 400,000 cases of infantile and childhood hydrocephalus occur worldwide annually; etiologies include aqueductal stenosis, myelomeningocele, post-hemorrhagic hydrocephalus in premature infants	Infants: rapidly increasing head circumference crossing percentiles, bulging anterior fontanelle, splaying of cranial sutures, irritability, vomiting, upgaze palsy; older children and adults: headache, nausea, vomiting, papilledema, sixth nerve palsy, altered mental status	Acute to subacute onset over days to weeks depending on degree of obstruction; can present as acute emergency with rapid deterioration	Communicating hydrocephalus, benign external hydrocephalus in infants, pseudotumor cerebri, brain tumor without hydrocephalus, subdural hematoma	Cranial ultrasound in infants with open fontanelle; magnetic resonance imaging preferred over computed tomography to avoid radiation and identify obstruction site; cine magnetic resonance imaging cerebrospinal fluid flow studies can identify obstruction; avoid lumbar puncture due to herniation risk	Endoscopic third ventriculostomy for aqueductal stenosis and other obstructive causes when appropriate; ventriculoperitoneal shunt or ventriculoatrial shunt; temporizing ventricular access device or ventriculo-subgaleal shunt in neonates; treat underlying cause such as tumor resection	Y	https://www.uptodate.com/contents/clinical-features-and-diagnosis-of-hydrocephalus-in-children																
Organophosphate Poisoning	Cholinergic crisis with salivation, lacrimation, urination, defecation, gastrointestinal distress, emesis, miosis, bronchorrhea, bronchospasm, bradycardia, muscle fasciculations, weakness; "SLUDGE and killer Bs" or "DUMBELS"; exposure to pesticides or nerve agents	Irreversible inhibition of acetylcholinesterase at neural synapses; accumulation of acetylcholine causes overstimulation of muscarinic receptors (SLUDGE symptoms), nicotinic receptors (muscle fasciculations, weakness, paralysis, sympathetic effects), and central nervous system receptors (confusion, seizures, coma, respiratory depression); respiratory failure from central apnea, bronchospasm, secretions, muscle paralysis	Common cause of poisoning worldwide; intentional self-harm, occupational exposure, accidental exposure, chemical warfare; affects all ages; higher mortality in developing countries; intermediate syndrome develops 1-4 days after exposure in 20-68% of cases; delayed neuropathy may occur weeks later	Muscarinic: salivation, lacrimation, urination, defecation, gastrointestinal distress, emesis, miosis, bronchorrhea, bronchospasm, bradycardia; Nicotinic: muscle fasciculations, weakness, paralysis, tachycardia, hypertension, diaphoresis; Central nervous system: confusion, agitation, seizures, coma, respiratory depression; garlic or petroleum odor may be present	Acute: symptoms within 30-90 minutes of ingestion, seconds to minutes with inhalation; may persist for days; Intermediate syndrome: muscle weakness and respiratory failure 1-4 days after exposure; Delayed neuropathy: peripheral neuropathy weeks to months after exposure	Carbamate poisoning (similar but shorter duration), nicotine toxicity, muscarinic mushroom poisoning, nerve agent exposure, other causes of cholinergic crisis or seizures	Low red blood cell cholinesterase and serum cholinesterase levels (may not be immediately available); clinical diagnosis based on history and toxidrome; metabolic acidosis, hyperlactatemia on laboratory studies; response to atropine confirms diagnosis	Decontamination: remove clothing, wash skin with soap and water (providers wear personal protective equipment); Atropine: 1-3 milligrams intravenous, double dose every 5 minutes until atropinization (clear lungs, heart rate greater than 80, systolic blood pressure greater than 80), then continuous infusion; Pralidoxime: 1-2 grams intravenous over 30 minutes, then 0.5-1 gram per hour infusion; Benzodiazepines for seizures; early intubation for respiratory failure; avoid succinylcholine (prolonged paralysis)	Y	https://www.nejm.org/doi/full/10.1056/NEJMra1504690																
Papilledema	Bilateral optic disc swelling with preserved central vision; transient visual obscurations; headache worse in morning	Elevated intracranial pressure transmitted through optic nerve sheath causes axoplasmic flow stasis and optic disc edema	Most common in idiopathic intracranial hypertension; affects women of childbearing age with obesity more frequently	Headache, transient visual obscurations, peripheral visual field loss, diplopia from sixth nerve palsy, pulsatile tinnitus; central acuity preserved until late	Progressive over days to weeks; vision loss gradual from periphery inward	Pseudopapilledema from optic disc drusen, optic neuritis, central retinal vein occlusion, hypertensive retinopathy, infiltrative optic neuropathy	Fundoscopy showing disc elevation with blurred margins and venous engorgement; optical coherence tomography for retinal nerve fiber layer thickness; brain MRI with venography; lumbar puncture with opening pressure measurement	Treat underlying cause; for idiopathic intracranial hypertension: weight loss and acetazolamide first-line; surgical options include optic nerve sheath fenestration or cerebrospinal fluid shunting for refractory cases	Y	https://www.uptodate.com/contents/papilledema																
