Condition	USMLE Classic Presentation	Pathophysiology	Epidemiology	Salient Signs & Symptoms	Time Course	Differential	Diagnostics	Treatment	Never Miss	More Info																
Epidermal Cyst	Patient with firm, mobile, skin-colored nodule with central punctum on face, neck, or trunk; "sebaceous cyst" (misnomer)	Benign cyst lined by stratified squamous epithelium; accumulation of keratin material within dermis; may result from follicular occlusion or traumatic implantation of epidermis	Most common cutaneous cyst; affects all ages; slight male predominance; can occur anywhere but most common on face, neck, trunk	Firm, mobile, discrete subcutaneous nodule with central punctum (dilated pore); skin-colored to yellow; usually asymptomatic; may become inflamed, infected, or spontaneously rupture with foul-smelling discharge	Slow-growing over months to years; may remain stable indefinitely; can become acutely inflamed or infected	Pilar cyst, lipoma, dermoid cyst, abscess, inflamed hair follicle	Clinical diagnosis based on appearance and palpation of central punctum; ultrasound if diagnosis uncertain; histopathology after excision shows cyst wall of stratified squamous epithelium with keratin contents	Observation if asymptomatic; intralesional corticosteroid injection for inflamed cysts; incision and drainage for infected cysts; complete surgical excision with cyst wall removal for definitive treatment and to prevent recurrence	N	https://www.aafp.org/pubs/afp/issues/2024/1000/p353.html																
Epidermolysis Bullosa	Newborn or infant with skin fragility and blister formation after minimal trauma; "butterfly child"	Inherited mechanobullous disorder; mutations in genes encoding structural proteins of skin (keratins, collagen, laminin, integrin); four major types based on level of skin cleavage: simplex (intraepidermal), junctional (lamina lucida), dystrophic (sublamina densa), Kindler (mixed)	Rare; incidence approximately 20 per million live births; all ethnic groups affected; inheritance patterns vary (autosomal dominant or recessive depending on subtype)	Skin fragility with blister formation after minor trauma; mucosal involvement; nail dystrophy; scarring and milia formation (dystrophic types); extracutaneous manifestations (esophageal strictures, corneal erosions, anemia); severity varies by subtype	Congenital or early infancy onset; chronic lifelong condition; dystrophic forms associated with progressive scarring, pseudosyndactyly, and increased squamous cell carcinoma risk	Bullous pemphigoid, porphyria cutanea tarda, bullous impetigo, child abuse	Skin biopsy with immunofluorescence mapping and electron microscopy to determine level of cleavage; genetic testing to identify specific mutation; prenatal diagnosis available for at-risk families	Wound care (non-adherent dressings, infection prevention); pain management; nutritional support; multidisciplinary care; gene therapy and protein replacement therapies under investigation; surveillance for squamous cell carcinoma in dystrophic types	Y	https://www.uptodate.com/contents/epidermolysis-bullosa-pathogenesis-clinical-features-and-diagnosis																
Erysipelas	Patient with well-demarcated, raised, bright red, warm plaque on lower leg or face with fever; "St. Anthony's fire"	Superficial bacterial infection of upper dermis and superficial lymphatics; usually caused by beta-hemolytic streptococci (primarily group A Streptococcus); involves lymphatic vessels	Common; affects all ages; slight female predominance; lower extremity most common site (76%), followed by face (17%); predisposing factors include lymphedema, venous insufficiency, obesity, diabetes	Well-demarcated, raised, bright red, warm, tender plaque with sharp borders; often on lower leg or face; fever in 25% of cases; regional lymphadenopathy; possible entry portal (tinea pedis, trauma, ulcer) in 62% of cases; elevated erythrocyte sedimentation rate	Acute onset; symptoms develop over hours to days; responds to antibiotics within 24-48 hours; recurrence common (up to 30% within 3 years), especially with persistent risk factors	Cellulitis, contact dermatitis, deep vein thrombosis, necrotizing fasciitis, stasis dermatitis	Clinical diagnosis based on characteristic appearance; blood cultures usually negative; skin biopsy rarely needed; elevated inflammatory markers (erythrocyte sedimentation rate, C-reactive protein, white blood cell count)	Intravenous penicillin G (first-line); oral penicillin V or amoxicillin for mild cases; alternative: cephalosporins, macrolides if penicillin-allergic; treat for 10-14 days; address predisposing factors; prophylactic antibiotics for recurrent cases	Y	https://www.uptodate.com/contents/erysipelas																
Erythema Annulare Centrifugum	Patient with slowly expanding annular erythematous patch with trailing scale	Hypersensitivity reaction to various triggers (infections, drugs, malignancy); perivascular lymphocytic infiltrate in dermis; exact mechanism unknown	Rare; affects all ages; slight male predominance; can occur at any age but peak incidence in middle-aged adults	Slowly expanding annular or polycyclic erythematous patches and plaques with central clearing; characteristic trailing scale on inner border; typically on trunk and proximal extremities; usually asymptomatic or mildly pruritic	Chronic course over weeks to months; individual lesions expand slowly (2-5 millimeters per day); may persist for months to years; can be recurrent	Tinea corporis, urticaria, erythema migrans, granuloma annulare, subacute cutaneous lupus erythematosus	Clinical diagnosis; potassium hydroxide preparation to exclude fungal infection; skin biopsy shows tight perivascular lymphocytic infiltrate (coat-sleeve pattern); workup for underlying trigger if indicated	Identify and treat underlying cause; topical corticosteroids for symptomatic relief; typically self-limited once trigger removed	N	https://www.aafp.org/pubs/afp/issues/2018/0901/p283.html																
Erythema Migrans	Patient from endemic area with expanding red rash after tick bite; "bull's-eye rash" of Lyme disease	Immune response to Borrelia burgdorferi spirochete transmitted by Ixodes tick; local skin infection with centrifugal spread	Occurs in 70-80% of Lyme disease cases; endemic areas include northeastern, mid-Atlantic, and upper midwestern United States; peak incidence May through August; all ages affected	Expanding erythematous patch or plaque at site of tick bite; may have central clearing (classic bull's-eye in only 19% of endemic United States cases, 79% in Europe); homogeneous erythema more common; incubation 7-14 days (range 1-36 days); associated symptoms include fever, headache, myalgia, arthralgia	Incubation 7-14 days after tick bite; expands slowly over days; untreated lesions persist for weeks; resolves with antibiotic treatment	Tinea corporis, erythema annulare centrifugum, southern tick-associated rash illness, cellulitis, fixed drug eruption	Clinical diagnosis based on characteristic appearance and epidemiologic context; serologic testing usually negative in early disease (only 20% positive in first week); skin biopsy rarely needed	Doxycycline 100 milligrams twice daily for 10 days (first-line for adults and children 8 years and older); amoxicillin or cefuroxime for children under 8 years or pregnant women; prevents later manifestations of Lyme disease	Y	https://www.cdc.gov/lyme/																
Erythema Gyratum Repens	Patient with rapidly moving wood-grain pattern rash and underlying malignancy; "wood-grain rash"	Paraneoplastic phenomenon; exact mechanism unknown; likely immune-mediated response to tumor antigens; strongly associated with internal malignancy (especially lung, esophageal, breast)	Extremely rare; fewer than 100 cases reported; strong association with malignancy (80-90% of cases); mean age 60-70 years	Distinctive rapidly migrating concentric erythematous bands in wood-grain or zebra-stripe pattern; trailing scale; intense pruritus; typically on trunk and extremities; moves up to 1 centimeter per day	Rapid progression over days to weeks; resolves with treatment of underlying malignancy; may precede cancer diagnosis by months	Erythema annulare centrifugum, ichthyosis, tinea corporis, other paraneoplastic dermatoses	Skin biopsy shows nonspecific findings (spongiosis, perivascular lymphocytic infiltrate); comprehensive malignancy workup mandatory (chest imaging, endoscopy, age-appropriate cancer screening)	Treat underlying malignancy; symptomatic treatment with topical corticosteroids and antihistamines; rash typically resolves with successful cancer treatment	Y	https://www.uptodate.com/contents/cutaneous-manifestations-of-internal-malignancy																
Erythema Marginatum	Child with acute rheumatic fever presenting with evanescent pink rings on trunk; "one of Jones criteria"	Immune-mediated vasculitis following group A Streptococcus pharyngitis; part of acute rheumatic fever; immune cross-reactivity between streptococcal antigens and host tissues	Rare (less than 10% of acute rheumatic fever cases); occurs in children and adolescents; more common in moderate-risk to high-risk populations; associated with carditis	Non-pruritic, evanescent, pink-to-red maculopapular rash with serpiginous (snake-like) borders and central clearing; appears on trunk and proximal extremities; spares face, palms, and soles; blanches with pressure; comes and goes over hours	Appears during acute phase of rheumatic fever; transient and migratory; individual lesions last hours; rash may persist for weeks during acute illness	Urticaria, erythema multiforme, erythema annulare centrifugum, viral exanthem	Clinical diagnosis as part of Jones criteria for acute rheumatic fever; evidence of preceding group A Streptococcus infection (throat culture, rapid antigen test, anti-streptolysin O titer); echocardiography to assess for carditis	Treat acute rheumatic fever with penicillin or amoxicillin; anti-inflammatory therapy with aspirin or corticosteroids; secondary prophylaxis with long-term penicillin to prevent recurrence	Y	https://www.uptodate.com/contents/acute-rheumatic-fever-clinical-manifestations-and-diagnosis																
Erythema Multiforme	Patient with target lesions on hands and feet after herpes simplex virus infection or Mycoplasma pneumoniae	Immune-mediated hypersensitivity reaction; T-cell mediated response to infectious antigens (especially herpes simplex virus DNA polymerase gene) or drugs; cytotoxic T-cell attack on keratinocytes	Prevalence 0.01-1%; peak incidence young adults (20-40 years); slight female predominance; herpes simplex virus most common trigger (17.9% in children), followed by Mycoplasma pneumoniae (15.7%)	Characteristic raised target (iris) lesions with three concentric zones: central dusky area, pale edematous ring, outer erythematous ring; symmetric distribution on acral surfaces (dorsal hands, feet, extensor surfaces); may have mucosal involvement (erythema multiforme major); pruritus or burning	Acute onset; individual lesions fixed for minimum 7 days (unlike urticaria which resolves within 24 hours); self-limited course lasting 1-2 weeks; can be recurrent	Urticaria, Stevens-Johnson syndrome, fixed drug eruption, bullous pemphigoid, Sweet syndrome, vasculitis	Clinical diagnosis based on characteristic target lesions; skin biopsy shows interface dermatitis with keratinocyte necrosis; herpes simplex virus PCR if recurrent; Mycoplasma serology or PCR if suspected	Symptomatic treatment with topical corticosteroids and antihistamines; treat underlying infection if identified; prophylactic antiviral therapy (acyclovir or valacyclovir) for recurrent herpes-associated erythema multiforme; hospitalization for severe mucosal involvement	N	https://www.aafp.org/pubs/afp/issues/2019/0715/p82.html																
Erythema Nodosum	Patient with tender red nodules on shins after streptococcal infection or starting oral contraceptives	Delayed hypersensitivity reaction in subcutaneous fat; septal panniculitis without vasculitis; triggered by infections (especially streptococcal, tuberculosis), drugs (oral contraceptives, antibiotics), sarcoidosis, inflammatory bowel disease	Most common form of panniculitis; female predominance (3-6:1); peak incidence 20-30 years; idiopathic in 30-50% of cases	Tender, erythematous, warm subcutaneous nodules (1-5 centimeters); bilateral and symmetric on anterior shins (pretibial); may occur on thighs, arms; no ulceration; associated systemic symptoms (fever, malaise, arthralgia) in 50%	Acute onset over days; individual lesions evolve from bright red to violaceous to yellow-brown (like a bruise) over 2-6 weeks; self-limited; total course 3-6 weeks	Cellulitis, superficial thrombophlebitis, erythema induratum, vasculitis, panniculitis from other causes	Clinical diagnosis; skin biopsy shows septal panniculitis without vasculitis; workup for underlying cause: throat culture, anti-streptolysin O titer, chest radiograph (sarcoidosis, tuberculosis, hilar adenopathy), complete blood count, erythrocyte sedimentation rate	Treat underlying cause; supportive care with rest, leg elevation, nonsteroidal anti-inflammatory drugs; potassium iodide for refractory cases; systemic corticosteroids rarely needed	N	https://www.uptodate.com/contents/erythema-nodosum																
Erythema Toxicum Neonatorum	Healthy newborn with blotchy red rash and pustules on day 2 of life	Benign self-limited condition; exact pathogenesis unknown; likely represents normal inflammatory response to new environment; eosinophil accumulation in hair follicles	Affects 40-70% of full-term newborns; onset typically 24-48 hours after birth (range 0-14 days); more common in full-term infants; rare in premature infants	Erythematous macules, papules, and pustules on erythematous base; "flea-bitten" appearance; distribution on face, trunk, extremities; spares palms and soles; infant otherwise well-appearing	Onset 24-48 hours after birth; individual lesions transient (lasting hours to days); new lesions may appear; resolves spontaneously within 5-14 days without treatment	Transient neonatal pustular melanosis, neonatal acne, miliaria, candidiasis, herpes simplex, bacterial infection	Clinical diagnosis; Wright or Giemsa stain of pustule contents shows eosinophils (not neutrophils); no cultures needed unless infant appears ill	Reassurance; no treatment needed; self-limited and benign	N	https://www.aafp.org/pubs/afp/issues/2024/0300/newborn-skin-part-1.html																
Erythrodermic Psoriasis	Patient with known psoriasis presenting with generalized erythema and scaling covering greater than 90% of body surface area	Severe form of psoriasis with widespread inflammation; triggered by abrupt withdrawal of systemic corticosteroids, infection, stress, or medications; T-cell mediated inflammation with excessive keratinocyte proliferation	Rare; affects less than 3% of psoriasis patients; can occur at any age; may be first presentation of psoriasis or complication of existing disease	Generalized erythema and scaling involving greater than 90% of body surface area; may have areas of indurated plaques with silvery scale; systemic symptoms (fever, chills, malaise); complications include hypothermia, high-output cardiac failure, hypoalbuminemia, secondary infection	Acute or subacute onset over days to weeks; chronic course without treatment; can be life-threatening	Atopic dermatitis, contact dermatitis, cutaneous T-cell lymphoma (Sezary syndrome), pityriasis rubra pilaris, drug reaction	Clinical diagnosis based on history of psoriasis and characteristic findings; skin biopsy shows psoriasiform hyperplasia; rule out infection; monitor electrolytes, albumin, complete blood count; consider HIV testing	Hospitalization for severe cases; supportive care (fluid and electrolyte management, temperature regulation); systemic therapy with methotrexate, cyclosporine, or biologics (tumor necrosis factor inhibitors, interleukin inhibitors); avoid abrupt corticosteroid withdrawal	Y	https://www.uptodate.com/contents/erythroderma-erythrodermic-psoriasis																
Extramammary Paget Disease	Elderly patient with chronic red plaque on genitals or perianal area that was treated as eczema for months to years	Rare adenocarcinoma arising from apocrine gland-rich skin; can be primary intraepithelial or associated with underlying visceral adenocarcinoma	Rare; predominantly affects older adults; most common on vulvar and penoscrotal skin, less frequently perianal region	Slowly growing erythematous plaque on apocrine-rich areas (genitals, perianal, axillae); often pruritic; mimics inflammatory dermatoses leading to delayed diagnosis	Chronic, slowly progressive over months to years	Eczema, psoriasis, lichen sclerosus, contact dermatitis, invasive squamous cell carcinoma, melanoma	Skin biopsy with histopathology showing Paget cells (large cells with pale cytoplasm in epidermis); immunohistochemistry supportive; workup for underlying malignancy required	Surgical excision (Mohs micrographic surgery preferred for lower recurrence); evaluate for associated internal malignancy; alternatives include topical therapy for intraepidermal disease when surgery is morbid	Y	https://www.uptodate.com/contents/extramammary-paget-disease																
Fixed Drug Eruption	Patient with round hyperpigmented plaque on lips or genitals that becomes red and inflamed with same medication each time	Type IV delayed hypersensitivity reaction; CD8 T-cell mediated inflammation at fixed anatomic sites; intraepidermal T cells remain dormant and reactivate upon drug re-exposure	Common drug reaction; affects all ages; no clear gender predominance	Well-demarcated round erythematous to violaceous plaques (typically less than 8 cm) that recur at identical sites; commonly on lips, genitals, hands; may blister; leaves residual hyperpigmentation; pruritus or burning sensation	Rapid onset within 1 to 24 hours of drug exposure; resolves in days to weeks after drug discontinuation; recurs at same sites with re-exposure	Erythema multiforme, contact dermatitis, herpes simplex, other drug eruptions, generalized bullous fixed drug eruption, Stevens-Johnson syndrome	Clinical diagnosis based on history of recurrence at same site; skin biopsy shows interface dermatitis with basal vacuolization; patch testing preferred over oral challenge	Discontinue offending drug; symptomatic relief with topical corticosteroids and antihistamines for pruritus; patient education to avoid causative agent	N	https://www.uptodate.com/contents/fixed-drug-eruption																
Folate (Vitamin B9) Deficiency	Patient with macrocytic anemia, glossitis, and history of alcoholism or malnutrition	Impaired DNA synthesis due to inadequate folate for one-carbon metabolism; affects rapidly dividing cells (bone marrow, gastrointestinal epithelium); folate is essential cofactor for nucleotide synthesis and methylation reactions	Rare in countries with mandatory folic acid fortification; higher rates in safety net populations, alcoholics, malabsorption syndromes, pregnancy, certain medications (methotrexate, trimethoprim, phenytoin)	Megaloblastic anemia with macrocytosis; glossitis (smooth, beefy red tongue); angular cheilitis; gastrointestinal symptoms; neurologic symptoms less common than B12 deficiency; fatigue, pallor	Develops over weeks to months depending on dietary intake and stores	Vitamin B12 deficiency, other causes of macrocytic anemia (alcohol, liver disease, hypothyroidism, myelodysplastic syndrome), hemolysis	Low serum folate (less than 3 ng/mL); low red blood cell folate (more reliable for chronic deficiency); elevated homocysteine; normal methylmalonic acid (distinguishes from B12 deficiency); macrocytic anemia on complete blood count; hypersegmented neutrophils on peripheral smear	Oral folic acid supplementation 1 to 5 mg daily; treat underlying cause; must rule out or treat concurrent B12 deficiency before folate replacement to avoid precipitating subacute combined degeneration	N	https://www.uptodate.com/contents/causes-and-pathophysiology-of-vitamin-b12-and-folate-deficiencies																
Folliculitis	Patient with multiple small pustules centered on hair follicles after hot tub use or shaving	Inflammation of hair follicle; most commonly infectious (Staphylococcus aureus most frequent); can be superficial (limited to epidermis) or deep (extends to dermis); also caused by Gram-negative bacteria, fungi, viruses, or non-infectious (mechanical, chemical)	Common; affects all ages; increased risk with occlusion, moisture, shaving, immunosuppression	Small erythematous papules and pustules (1 mm) centered on hair follicles; pruritus common; distribution varies by cause (hot tub folliculitis on trunk, pseudofolliculitis barbae on beard area)	Acute onset over days; typically self-limited if infectious cause removed	Acne vulgaris, keratosis pilaris, miliaria, insect bites, contact dermatitis, fungal folliculitis, pseudofolliculitis barbae	Clinical diagnosis; Gram stain and culture of pustule contents if severe or recurrent; cytology can identify bacterial, fungal, viral, or parasitic causes	Remove inciting factor; mild cases often self-resolve; topical antibiotics (mupirocin) or antiseptics for bacterial; oral antibiotics (cephalexin, doxycycline) for extensive or deep infection; antifungals if fungal etiology	N	https://www.uptodate.com/contents/bacterial-folliculitis																
Furuncles	Patient with painful red nodule on neck or buttocks that drains pus spontaneously	Deep infection of hair follicle caused by Staphylococcus aureus (often methicillin-resistant Staphylococcus aureus); suppuration extends through dermis into subcutaneous tissue forming abscess; carbuncle is coalescence of multiple furuncles	Common; increased in diabetes, obesity, immunosuppression, nasal Staphylococcus aureus carriage	Painful, tender, erythematous nodule with central pustule and hair emerging; fluctuance develops; may drain spontaneously; fever if systemic involvement; carbuncles are larger, deeper, drain from multiple follicular openings	Develops over days; may rupture and drain spontaneously or require incision and drainage	Folliculitis, abscess, inflamed epidermoid cyst, hidradenitis suppurativa, carbuncle, cellulitis	Clinical diagnosis; Gram stain and culture of purulent drainage recommended for carbuncles and abscesses but treatment without studies reasonable in typical cases	Incision and drainage is primary treatment; warm compresses may promote spontaneous drainage; antibiotics (targeting methicillin-resistant Staphylococcus aureus if prevalent) indicated if systemic inflammatory response syndrome, immunocompromised, or failed drainage alone; decolonization for recurrent cases	N	https://www.uptodate.com/contents/simple-cutaneous-abscesses-and-furuncles																
Giant Cell Arteritis	Woman over 70 with new headache, jaw claudication, and vision loss; elevated erythrocyte sedimentation rate over 50	Granulomatous vasculitis of large and medium arteries, particularly cranial branches of aorta; interleukin-6 and interferon-gamma mediated inflammation via JAK-STAT pathway	Most common primary vasculitis in adults; affects almost exclusively those 50 years or older; mean age over 70; more common in women; prevalence 51 per 100,000 persons over 50	New temporal headache, scalp tenderness, jaw or tongue claudication, sudden visual loss, temporal artery abnormality on exam; often associated with polymyalgia rheumatica (shoulder and neck morning stiffness); constitutional symptoms	Subacute onset over weeks; requires urgent diagnosis to prevent irreversible vision loss	Polymyalgia rheumatica, other vasculitides, temporal arteritis mimics (dental conditions, temporomandibular disorders, migraine, trigeminal neuralgia), malignancy, infection	Elevated erythrocyte sedimentation rate (typically over 50) or C-reactive protein (over 10 mg/L); temporal artery biopsy (gold standard but imperfect sensitivity) or temporal artery ultrasound showing halo sign; vascular imaging for large vessel involvement	High-dose glucocorticoids (prednisone 40 to 60 mg daily) tapered over 1 year or more; tocilizumab (interleukin-6 receptor inhibitor) is FDA-approved glucocorticoid-sparing agent; upadacitinib (JAK-1 inhibitor) recently FDA-approved	Y	https://www.uptodate.com/contents/clinical-manifestations-and-diagnosis-of-giant-cell-arteritis																
Granulomatosis with Polyangiitis	Patient with bloody nasal discharge, nasal crusting, pulmonary nodules, and glomerulonephritis; positive cytoplasmic antineutrophil cytoplasmic antibody	Necrotizing granulomatous inflammation of respiratory tract and necrotizing vasculitis of small and medium vessels; associated with antineutrophil cytoplasmic antibodies (primarily anti-proteinase 3)	Rare systemic disease; part of antineutrophil cytoplasmic antibody-associated vasculitis spectrum	Upper airway: bloody nasal discharge, crusting, sinonasal congestion, cartilaginous involvement, hearing loss; Pulmonary: nodules, cavitation; Renal: pauci-immune glomerulonephritis; constitutional symptoms	Progressive over weeks to months; can present as localized, early systemic, generalized, or severe disease	Microscopic polyangiitis, eosinophilic granulomatosis with polyangiitis, polyarteritis nodosa, other small vessel vasculitides, infection, malignancy	Positive cytoplasmic antineutrophil cytoplasmic antibody or anti-proteinase 3 antibody; tissue biopsy showing granuloma or giant cells; chest imaging showing nodules or cavitation; urinalysis and renal function for glomerulonephritis	Induction: cyclophosphamide or rituximab plus glucocorticoids; Maintenance: rituximab, azathioprine, or methotrexate; severity-based approach (localized, early systemic, generalized, severe)	Y	https://www.uptodate.com/contents/granulomatosis-with-polyangiitis-and-microscopic-polyangiitis-clinical-manifestations-and-diagnosis																
Granuloma Annulare	Child or young adult with asymptomatic annular ring of skin-colored to erythematous papules on dorsal hands or feet	Granulomatous disorder of uncertain etiology; histology shows palisading granulomas, collagen degeneration, mucin, and lymphohistiocytic infiltrate	Accounts for 0.1 to 0.4 percent of dermatology visits; most common in first 3 to 5 decades of life; female to male ratio approximately 2 to 1	Localized: annular groups of skin-colored to erythematous papules without epidermal change on dorsal hands or feet; Generalized: widespread papules or plaques; Subcutaneous: deep nodules; Perforating: umbilicated papules	Localized form often self-limited within 2 years; generalized form more chronic and recalcitrant	Tinea corporis, lichen planus, necrobiosis lipoidica, sarcoidosis, annular elastolytic giant cell granuloma	Clinical diagnosis confirmed by skin biopsy showing palisading granulomas with central collagen degeneration and mucin; no routine laboratory workup needed for localized disease	Localized: observation (often self-resolves), topical or intralesional corticosteroids; Generalized: challenging, over 30 treatments described with variable results including phototherapy, systemic immunosuppressants, biologics	N	https://www.uptodate.com/contents/granuloma-annulare																
Green Nails	Patient with artificial nails or chronic water exposure presenting with green discoloration of nail plate, proximal paronychia, and distal onycholysis	Pseudomonas aeruginosa infection of nail; bacteria produce pyocyanin and pyoverdin pigments causing characteristic green color; requires moisture and disruption of nail-nail bed seal	Occurs with predisposing factors: trauma, artificial nails, chronic wet exposure, preexisting nail conditions	Triad: green discoloration of nail plate (ranging from pale to dark green), proximal paronychia, distal onycholysis; typically painless unless superinfected	Develops over days to weeks with chronic exposure; resolves with treatment over weeks	Fungal nail infection, melanonychia, subungual hematoma, chloronychia from other causes	Clinical diagnosis based on characteristic green discoloration; bacterial culture of nail confirms Pseudomonas aeruginosa but not always necessary	Remove predisposing factor (artificial nails, wet exposure); trim affected nail; topical antibiotics (gentamicin, ciprofloxacin, or polymyxin B); chemical nail avulsion with urea for extensive involvement; oral antibiotics rarely needed	N	https://www.uptodate.com/contents/bacterial-nail-infections																
Guttate Psoriasis	Child or young adult with sudden onset of small droplike scaly papules on trunk 1 to 2 weeks after streptococcal pharyngitis	Immune-mediated inflammatory skin disease; often triggered by streptococcal infection; T-cell mediated with cytokine dysregulation similar to plaque psoriasis	Accounts for approximately 2 percent of psoriasis cases; typically affects children and young adults; can be first presentation of psoriasis	Diffuse small (less than 1 cm) erythematous scaly papules and plaques distributed over trunk and proximal extremities; spares palms and soles; may have preceding upper respiratory infection	Acute onset over days to weeks, typically 1 to 2 weeks post-streptococcal infection; may resolve spontaneously or progress to chronic plaque psoriasis	Pityriasis rosea (follows skin cleavage lines, herald patch), secondary syphilis (involves palms and soles), viral exanthem, drug eruption, lichen planus	Clinical diagnosis; skin biopsy if uncertain showing psoriasiform hyperplasia, parakeratosis, neutrophils in stratum corneum; throat culture or rapid strep test if recent pharyngitis	Treat streptococcal infection if present; topical corticosteroids and vitamin D analogs; phototherapy (narrowband ultraviolet B) for extensive disease; often self-limited; systemic therapy rarely needed	N	https://www.uptodate.com/contents/psoriasis-epidemiology-clinical-manifestations-and-diagnosis																
Hemangioma	Bright red strawberry birthmark appearing in first weeks of life; grows rapidly then involutes	Aberrant vasculogenesis and angiogenesis triggered by hypoxia; proliferation of GLUT1-positive endothelial cells forming syncytial masses, later forming capillary structures, then involuting to fibrofatty tissue	Most common benign tumor of infancy; affects up to 5% of infants; more common in premature infants, females, and Caucasians	Superficial: bright red papules/plaques; Deep: bluish subcutaneous masses; may have pale precursor lesion at birth; complications include ulceration, obstruction, functional impairment	Appears in first few weeks of life; rapid proliferation in first 3 months (80% of growth by 3 months); stabilization; spontaneous involution over months to years (90% complete by age 4 years)	Port wine stain, other vascular tumors, vascular malformations, pyogenic granuloma	Clinical diagnosis; GLUT1 immunohistochemistry positive; high-frequency ultrasound may help differentiate from other lesions	Observation for uncomplicated lesions; Propranolol 2-3 mg/kg/day for 6-12 months for high-risk lesions (periorbital, airway, large facial, ulcerated); topical timolol for small superficial lesions; surgery/laser for residual changes	N	https://www.ncbi.nlm.nih.gov/books/NBK537153/																
Herpes Simplex	Painful grouped vesicles on erythematous base; primary infection with systemic symptoms; recurrent episodes milder and shorter	HSV-1 or HSV-2 infection of epithelial cells; viral replication causes cell lysis and vesicle formation; establishes latency in sensory ganglia with periodic reactivation	HSV-1: 50-80% seroprevalence by adulthood; HSV-2: 12-16% in US adults; transmitted via direct contact with lesions or asymptomatic shedding	Primary: painful grouped vesicles, fever, malaise, lymphadenopathy; Recurrent: prodrome of tingling/burning, then vesicles that crust; orolabial (HSV-1) or genital (HSV-2) distribution	Primary: 7-10 days; Recurrent: 5-10 days; prodrome may precede lesions by hours to days; recurrences variable in frequency	Aphthous ulcers, syphilis, chancroid, Behcet disease, hand-foot-mouth disease, herpangina, varicella-zoster	NAAT/PCR from lesion swab (sensitivity 96.7-100%); viral culture (sensitivity 30-70%); type-specific IgG serology (detectable 2 weeks to 3 months after infection); Tzanck smear (low sensitivity)	Primary or severe: Acyclovir 400 mg PO three times daily, Valacyclovir 1 g PO twice daily, or Famciclovir 500 mg PO twice daily for 7-10 days; Recurrent: same agents for 5-10 days; Suppressive: same agents twice daily; IV acyclovir 5 mg/kg every 8 hours for severe mucocutaneous disease	N	https://www.cdc.gov/std/treatment-guidelines/herpes.htm																
Herpes Zoster	Painful unilateral vesicular rash in dermatomal distribution; "shingles"; may have prodrome of pain before rash	Reactivation of latent varicella-zoster virus from dorsal root ganglia; viral replication in sensory nerve and spread to dermatome; inflammation and nerve damage	Lifetime risk 30%; incidence increases with age; 1 million cases annually in US; risk increased 20-100 fold in immunocompromised	Prodrome: malaise, headache, fever, abnormal skin sensations 2-3 days before rash; unilateral dermatomal maculopapular rash progressing to vesicles that crust in 7-10 days; acute pain; postherpetic neuralgia in 20%	Prodrome 2-3 days; vesicular rash 7-10 days; acute pain during rash; postherpetic neuralgia defined as pain lasting greater than 90 days after rash onset	Herpes simplex, contact dermatitis, impetigo, cellulitis	Clinical diagnosis; PCR or direct fluorescent antibody testing if atypical presentation	Antiviral therapy within 72 hours of rash onset: Valacyclovir 1 g PO three times daily for 7 days, Famciclovir 500 mg PO three times daily for 7 days, or Acyclovir 800 mg PO five times daily for 7 days; pain management with opioids, gabapentin, pregabalin, or tricyclic antidepressants; ophthalmology referral for herpes zoster ophthalmicus	Y	https://www.cdc.gov/shingles/hcp/clinical-overview.html																
HHV6/HHV7	Roseola infantum (exanthem subitum): high fever for 3 days in infant, then rash as fever breaks; "fever then feels fine"	Primary infection with HHV-6B (most common) or HHV-7; viral replication in lymphocytes and other cells; establishes latency; can reactivate in immunocompromised	HHV-6B: nearly universal infection in early childhood (peak 6-15 months); HHV-7: infection occurs slightly later (mean 26 months); transmitted via saliva	High fever (38-40 degrees Celsius) for 2-5 days; child appears well despite fever; rash appears as fever resolves: pink maculopapular on trunk/face/extremities lasting 1-3 days; febrile seizures in 10-15%; may be asymptomatic	Fever 2-5 days; rash appears on day 3-4 of illness as fever breaks; rash lasts 1-3 days; total illness 5-7 days	Other viral exanthems, measles, rubella, drug eruption, scarlet fever	Clinical diagnosis; PCR from blood for confirmation; serology (IgM/IgG seroconversion); viral culture rarely needed	Supportive care; antipyretics for fever; seizure management if needed; antivirals (ganciclovir, foscarnet) reserved for severe disease in immunocompromised (encephalitis, post-transplant)	N	https://www.ncbi.nlm.nih.gov/books/NBK448190/																
